v,h,year,month,t2m_mean,t2m_std,precip_mean,precip_std
2,9,2051,1,261.233,6.7537,0.0014,0.0022
2,9,2051,2,260.2751,6.6761,0.0013,0.0027
2,9,2051,3,262.1612,5.7381,0.0018,0.0033
2,9,2051,4,265.5735,4.5618,0.0011,0.002
2,9,2051,5,273.0836,2.031,0.0009,0.0018
2,9,2051,6,278.7029,1.5973,0.0016,0.0021
2,9,2051,7,280.9114,1.3167,0.0046,0.0069
2,9,2051,8,282.2169,1.0663,0.0034,0.0056
2,9,2051,9,281.1129,1.6938,0.0018,0.0035
2,9,2051,10,275.3023,2.03,0.0025,0.0036
2,9,2051,11,271.1965,2.6982,0.0015,0.0022
2,9,2051,12,270.8473,3.8808,0.0027,0.0032
2,9,2052,1,268.619,5.1639,0.0023,0.0028
2,9,2052,2,266.8293,7.6078,0.0022,0.0028
2,9,2052,3,262.7347,6.4366,0.0011,0.002
2,9,2052,4,269.0226,3.0874,0.0014,0.002
2,9,2052,5,275.1639,1.788,0.001,0.0021
2,9,2052,6,280.0241,1.7056,0.0013,0.0034
2,9,2052,7,283.6124,1.3173,0.004,0.0059
2,9,2052,8,283.9258,1.2006,0.0038,0.0066
2,9,2052,9,281.5549,2.4067,0.0027,0.0043
2,9,2052,10,274.1873,2.5915,0.003,0.0046
2,9,2052,11,269.1632,3.3002,0.0031,0.0043
2,9,2052,12,263.2483,4.9961,0.001,0.0015
2,9,2053,1,267.1734,5.7805,0.0019,0.0023
2,9,2053,2,260.8644,6.0603,0.0023,0.0034
2,9,2053,3,266.5851,3.9793,0.0015,0.0027
2,9,2053,4,269.7807,2.2143,0.0009,0.0016
2,9,2053,5,273.4355,2.2778,0.0014,0.0022
2,9,2053,6,279.1791,1.4945,0.0013,0.002
2,9,2053,7,281.3769,1.9174,0.0032,0.0059
2,9,2053,8,283.6076,1.6274,0.0012,0.0026
2,9,2053,9,281.8207,1.9501,0.0035,0.0053
2,9,2053,10,276.7872,1.6199,0.003,0.0039
2,9,2053,11,273.1266,2.3285,0.0033,0.0032
2,9,2053,12,266.2666,5.1758,0.0018,0.0026
2,9,2054,1,264.9322,5.2788,0.002,0.0031
2,9,2054,2,259.4453,9.0155,0.0016,0.0029
2,9,2054,3,264.258,4.1329,0.0012,0.0018
2,9,2054,4,268.9824,3.4324,0.0006,0.0012
2,9,2054,5,274.3774,1.7837,0.0019,0.0025
2,9,2054,6,278.5732,1.5728,0.0023,0.0034
2,9,2054,7,282.252,1.6723,0.004,0.0066
2,9,2054,8,282.3693,1.2469,0.0026,0.0051
2,9,2054,9,281.5452,1.9572,0.0031,0.0049
2,9,2054,10,276.3767,2.0859,0.0025,0.0032
2,9,2054,11,274.9558,2.4065,0.0033,0.0043
2,9,2054,12,269.495,3.7349,0.0024,0.0026
2,9,2055,1,262.965,5.3216,0.001,0.0013
2,9,2055,2,266.2274,6.4354,0.0021,0.0028
2,9,2055,3,264.2961,5.4441,0.0007,0.0019
2,9,2055,4,267.9263,3.759,0.0008,0.0023
2,9,2055,5,274.9087,2.5086,0.001,0.0017
2,9,2055,6,278.5411,1.9889,0.0015,0.0029
2,9,2055,7,283.1798,1.6173,0.0037,0.0055
2,9,2055,8,284.1715,1.6242,0.0028,0.005
2,9,2055,9,281.9132,2.1258,0.0032,0.0053
2,9,2055,10,274.6422,2.3254,0.001,0.002
2,9,2055,11,270.2173,2.5135,0.0011,0.0012
2,9,2055,12,268.3294,4.8569,0.0021,0.0035
2,9,2056,1,260.8441,6.312,0.0017,0.0027
2,9,2056,2,270.6859,4.314,0.0051,0.0058
2,9,2056,3,266.2213,5.8709,0.0018,0.004
2,9,2056,4,269.7371,3.2929,0.0015,0.0026
2,9,2056,5,276.008,2.0411,0.0013,0.0021
2,9,2056,6,280.485,1.2552,0.0019,0.0029
2,9,2056,7,282.5161,1.5418,0.0037,0.0059
2,9,2056,8,284.8349,1.4862,0.0052,0.0071
2,9,2056,9,280.8074,2.5994,0.0033,0.0062
2,9,2056,10,275.7818,2.4925,0.0023,0.0025
2,9,2056,11,271.4433,3.5379,0.0042,0.0046
2,9,2056,12,266.9512,4.7864,0.0017,0.0027
2,9,2057,1,261.2906,5.2351,0.0013,0.0024
2,9,2057,2,260.8336,8.9612,0.0017,0.0026
2,9,2057,3,263.1164,5.9548,0.0029,0.0045
2,9,2057,4,265.8226,6.5215,0.001,0.0017
2,9,2057,5,273.8555,3.0921,0.0012,0.002
2,9,2057,6,278.397,1.2439,0.0013,0.0022
2,9,2057,7,281.1854,1.4017,0.0041,0.006
2,9,2057,8,282.6369,1.4789,0.0027,0.004
2,9,2057,9,280.6122,2.6781,0.005,0.0067
2,9,2057,10,274.4089,2.0244,0.0009,0.0016
2,9,2057,11,270.182,2.4017,0.0023,0.0036
2,9,2057,12,264.1892,4.8384,0.0022,0.0028
2,9,2058,1,260.4528,6.9757,0.0022,0.0033
2,9,2058,2,262.3078,6.3334,0.0017,0.0034
2,9,2058,3,263.7955,6.601,0.0019,0.003
2,9,2058,4,268.4382,3.9965,0.0027,0.0037
2,9,2058,5,273.9116,1.4494,0.0012,0.002
2,9,2058,6,279.9577,1.9378,0.0022,0.0034
2,9,2058,7,283.7166,1.4914,0.0028,0.0053
2,9,2058,8,284.4824,1.5398,0.0032,0.0056
2,9,2058,9,282.4698,1.9798,0.0026,0.0068
2,9,2058,10,277.5225,2.5008,0.0023,0.0029
2,9,2058,11,272.3965,2.5349,0.0025,0.0041
2,9,2058,12,272.0361,3.7063,0.0029,0.0034
2,9,2059,1,261.8298,4.4263,0.0018,0.0023
2,9,2059,2,265.785,7.0902,0.0025,0.0044
2,9,2059,3,262.7319,3.2777,0.0008,0.0015
2,9,2059,4,267.723,5.6827,0.0013,0.0019
2,9,2059,5,274.1297,2.4143,0.0006,0.0017
2,9,2059,6,279.2243,1.4347,0.0011,0.0024
2,9,2059,7,284.313,1.1694,0.0031,0.0046
2,9,2059,8,284.5741,1.9878,0.0033,0.0055
2,9,2059,9,282.3449,1.8692,0.003,0.0043
2,9,2059,10,276.2379,2.4976,0.0027,0.0035
2,9,2059,11,270.3091,2.6668,0.0021,0.0029
2,9,2059,12,265.3039,5.9707,0.0013,0.0015
2,9,2060,1,258.3387,6.4632,0.0008,0.0012
2,9,2060,2,268.824,6.0214,0.0026,0.004
2,9,2060,3,263.1151,5.8689,0.0009,0.0017
2,9,2060,4,267.7226,3.7348,0.0008,0.0017
2,9,2060,5,273.8358,3.5611,0.0014,0.0024
2,9,2060,6,280.6932,1.6652,0.001,0.0022
2,9,2060,7,284.892,1.2589,0.0021,0.0044
2,9,2060,8,285.0113,1.0319,0.0032,0.0051
2,9,2060,9,282.342,1.5852,0.0052,0.0072
2,9,2060,10,277.7621,2.0402,0.0025,0.0034
2,9,2060,11,272.9735,3.2619,0.0021,0.0036
2,9,2060,12,271.2339,3.4486,0.0039,0.0046
2,9,2091,1,266.0397,5.1472,0.0026,0.0033
2,9,2091,2,259.6027,7.5635,0.0011,0.0015
2,9,2091,3,264.3493,5.0395,0.0012,0.0024
2,9,2091,4,267.3214,4.977,0.001,0.0027
2,9,2091,5,274.4039,3.2228,0.0019,0.0033
2,9,2091,6,279.7536,1.1526,0.0012,0.0032
2,9,2091,7,283.9921,1.6172,0.0031,0.0068
2,9,2091,8,282.6962,1.464,0.0026,0.0043
2,9,2091,9,281.781,2.2164,0.0023,0.004
2,9,2091,10,276.9654,2.0491,0.0014,0.0022
2,9,2091,11,270.4487,2.6732,0.0012,0.0022
2,9,2091,12,266.7069,5.0292,0.0017,0.0036
2,9,2092,1,265.1927,4.8445,0.0015,0.0019
2,9,2092,2,267.1255,5.0493,0.0024,0.0032
2,9,2092,3,266.1952,4.2848,0.0013,0.0021
2,9,2092,4,267.8383,5.1663,0.001,0.0019
2,9,2092,5,274.8968,1.7791,0.0013,0.0022
2,9,2092,6,279.6839,1.4849,0.002,0.0032
2,9,2092,7,283.6238,1.8187,0.0023,0.004
2,9,2092,8,284.3419,0.8308,0.0053,0.0067
2,9,2092,9,282.1473,1.7292,0.0041,0.0081
2,9,2092,10,276.6564,2.1772,0.0035,0.0048
2,9,2092,11,273.4122,2.2883,0.0034,0.0043
2,9,2092,12,271.0086,2.4392,0.0029,0.0038
2,9,2093,1,268.4241,3.2316,0.0019,0.0021
2,9,2093,2,268.842,6.3816,0.0021,0.0035
2,9,2093,3,267.9715,3.9636,0.001,0.0018
2,9,2093,4,272.8876,2.2255,0.0033,0.0035
2,9,2093,5,276.5059,2.3546,0.0014,0.0022
2,9,2093,6,281.3727,1.8037,0.0009,0.0016
2,9,2093,7,286.3242,1.6089,0.0018,0.0032
2,9,2093,8,285.3729,1.2965,0.0037,0.0053
2,9,2093,9,282.7106,2.1126,0.0024,0.0035
2,9,2093,10,275.7451,2.4685,0.0023,0.0036
2,9,2093,11,270.4863,2.3513,0.002,0.0024
2,9,2093,12,264.3044,3.903,0.0017,0.0034
2,9,2094,1,267.8219,4.2949,0.0019,0.002
2,9,2094,2,256.1974,5.0269,0.0009,0.0016
2,9,2094,3,264.8095,5.2939,0.0015,0.0023
2,9,2094,4,269.9424,3.0301,0.0011,0.0018
2,9,2094,5,274.0023,2.876,0.0011,0.0023
2,9,2094,6,280.2183,1.4511,0.0012,0.0024
2,9,2094,7,282.9858,1.3863,0.0025,0.0043
2,9,2094,8,284.7739,1.6702,0.0016,0.0029
2,9,2094,9,281.5274,1.9575,0.0027,0.0038
2,9,2094,10,275.4209,2.3722,0.002,0.0024
2,9,2094,11,270.0504,2.6176,0.0022,0.0035
2,9,2094,12,267.3916,4.792,0.0032,0.0032
2,9,2095,1,263.8076,6.2213,0.001,0.0013
2,9,2095,2,262.7695,6.1929,0.0016,0.003
2,9,2095,3,260.0528,4.5902,0.0015,0.004
2,9,2095,4,268.524,3.2076,0.0021,0.0032
2,9,2095,5,272.928,3.3389,0.0011,0.0025
2,9,2095,6,277.841,1.7124,0.0023,0.0029
2,9,2095,7,281.5631,1.5391,0.0022,0.0036
2,9,2095,8,283.4984,1.7311,0.0019,0.0036
2,9,2095,9,280.5565,1.2694,0.0024,0.0041
2,9,2095,10,274.7033,2.0872,0.0014,0.0036
2,9,2095,11,271.4281,2.3901,0.0013,0.0023
2,9,2095,12,264.8234,3.201,0.0011,0.0012
2,9,2096,1,260.7496,6.326,0.0012,0.0022
2,9,2096,2,265.6191,7.6397,0.0027,0.0032
2,9,2096,3,264.6843,5.1017,0.002,0.0028
2,9,2096,4,268.8002,4.1836,0.002,0.0036
2,9,2096,5,274.4646,1.8523,0.0015,0.003
2,9,2096,6,278.8072,1.7612,0.0025,0.0046
2,9,2096,7,282.7802,1.3771,0.0014,0.0026
2,9,2096,8,283.0924,1.3861,0.0035,0.0055
2,9,2096,9,281.4766,2.3122,0.0022,0.0033
2,9,2096,10,277.2188,2.9408,0.0016,0.0022
2,9,2096,11,271.2115,3.1267,0.0018,0.0028
2,9,2096,12,269.4621,3.5084,0.0025,0.004
2,9,2097,1,267.2742,4.7565,0.0018,0.0022
2,9,2097,2,268.4154,4.9845,0.0024,0.0025
2,9,2097,3,267.686,3.5307,0.0018,0.0026
2,9,2097,4,270.1033,2.7651,0.0009,0.0018
2,9,2097,5,274.8651,3.3531,0.0008,0.0019
2,9,2097,6,280.379,1.6346,0.0014,0.0023
2,9,2097,7,283.9038,1.6265,0.0018,0.0035
2,9,2097,8,284.4451,1.6353,0.0039,0.0052
2,9,2097,9,283.344,1.9967,0.0023,0.0029
2,9,2097,10,278.9584,1.447,0.0037,0.0038
2,9,2097,11,272.116,2.8423,0.0031,0.0046
2,9,2097,12,269.3524,4.4296,0.0021,0.0031
2,9,2098,1,265.4181,5.2596,0.0019,0.0025
2,9,2098,2,261.2418,7.1811,0.0021,0.0031
2,9,2098,3,266.6748,6.179,0.0018,0.0027
2,9,2098,4,267.269,2.9986,0.0012,0.0023
2,9,2098,5,274.1169,2.8048,0.0016,0.0024
2,9,2098,6,278.4103,1.5718,0.0025,0.0044
2,9,2098,7,282.6142,1.6581,0.0039,0.0067
2,9,2098,8,284.1397,1.3549,0.0051,0.0063
2,9,2098,9,281.2148,1.9942,0.005,0.0067
2,9,2098,10,276.7406,2.6618,0.0023,0.0039
2,9,2098,11,270.4555,3.032,0.0012,0.0015
2,9,2098,12,265.9565,3.8054,0.0018,0.0028
2,9,2099,1,262.7939,5.3433,0.002,0.0026
2,9,2099,2,261.1843,9.0992,0.0018,0.0026
2,9,2099,3,264.6153,4.2056,0.002,0.0035
2,9,2099,4,267.9888,3.3953,0.0014,0.0022
2,9,2099,5,272.9037,4.0683,0.0018,0.0026
2,9,2099,6,278.1202,1.611,0.0009,0.0021
2,9,2099,7,281.9423,1.5505,0.0027,0.0054
2,9,2099,8,282.5739,1.6173,0.0031,0.0054
2,9,2099,9,282.0335,2.0665,0.0043,0.005
2,9,2099,10,275.7086,2.1324,0.0028,0.0036
2,9,2099,11,269.4494,3.3525,0.0033,0.0043
2,9,2099,12,267.3162,4.8905,0.0027,0.0041
2,9,2100,1,264.2053,5.5302,0.002,0.0028
2,9,2100,2,259.8489,5.9266,0.0014,0.0022
2,9,2100,3,267.5064,4.034,0.0018,0.0029
