h,v,BurnedCells,month,year
9.0,2.0,0.0,1.0,2051.0
9.0,2.0,8.76,2.0,2051.0
9.0,2.0,12.67,3.0,2051.0
9.0,2.0,0.0,4.0,2051.0
9.0,2.0,5.07,5.0,2051.0
9.0,2.0,0.82,6.0,2051.0
9.0,2.0,3.04,7.0,2051.0
9.0,2.0,2.59,8.0,2051.0
9.0,2.0,7.66,9.0,2051.0
9.0,2.0,0.0,10.0,2051.0
9.0,2.0,3.99,11.0,2051.0
9.0,2.0,0.0,12.0,2051.0
9.0,2.0,0.0,1.0,2052.0
9.0,2.0,0.0,2.0,2052.0
9.0,2.0,0.0,3.0,2052.0
9.0,2.0,0.0,4.0,2052.0
9.0,2.0,5.57,5.0,2052.0
9.0,2.0,14.65,6.0,2052.0
9.0,2.0,5.67,7.0,2052.0
9.0,2.0,0.86,8.0,2052.0
9.0,2.0,0.06,9.0,2052.0
9.0,2.0,0.44,10.0,2052.0
9.0,2.0,1.75,11.0,2052.0
9.0,2.0,1.36,12.0,2052.0
9.0,2.0,0.59,1.0,2053.0
9.0,2.0,0.52,2.0,2053.0
9.0,2.0,0.0,3.0,2053.0
9.0,2.0,4.51,4.0,2053.0
9.0,2.0,4.51,5.0,2053.0
9.0,2.0,17.0,6.0,2053.0
9.0,2.0,0.65,7.0,2053.0
9.0,2.0,5.27,8.0,2053.0
9.0,2.0,0.0,9.0,2053.0
9.0,2.0,1.03,10.0,2053.0
9.0,2.0,1.6,11.0,2053.0
9.0,2.0,4.82,12.0,2053.0
9.0,2.0,0.0,1.0,2054.0
9.0,2.0,0.0,2.0,2054.0
9.0,2.0,0.0,3.0,2054.0
9.0,2.0,0.36,4.0,2054.0
9.0,2.0,1.41,5.0,2054.0
9.0,2.0,4.11,6.0,2054.0
9.0,2.0,0.69,7.0,2054.0
9.0,2.0,6.62,8.0,2054.0
9.0,2.0,0.79,9.0,2054.0
9.0,2.0,0.0,10.0,2054.0
9.0,2.0,1.6,11.0,2054.0
9.0,2.0,0.0,12.0,2054.0
9.0,2.0,1.36,1.0,2055.0
9.0,2.0,0.0,2.0,2055.0
9.0,2.0,24.59,3.0,2055.0
9.0,2.0,8.49,4.0,2055.0
9.0,2.0,5.35,5.0,2055.0
9.0,2.0,4.51,6.0,2055.0
9.0,2.0,0.04,7.0,2055.0
9.0,2.0,0.86,8.0,2055.0
9.0,2.0,0.0,9.0,2055.0
9.0,2.0,5.87,10.0,2055.0
9.0,2.0,3.99,11.0,2055.0
9.0,2.0,0.0,12.0,2055.0
9.0,2.0,0.0,1.0,2056.0
9.0,2.0,0.65,2.0,2056.0
9.0,2.0,16.03,3.0,2056.0
9.0,2.0,0.0,4.0,2056.0
9.0,2.0,13.27,5.0,2056.0
9.0,2.0,4.86,6.0,2056.0
9.0,2.0,0.04,7.0,2056.0
9.0,2.0,0.15,8.0,2056.0
9.0,2.0,2.15,9.0,2056.0
9.0,2.0,0.0,10.0,2056.0
9.0,2.0,0.0,11.0,2056.0
9.0,2.0,0.0,12.0,2056.0
9.0,2.0,8.76,1.0,2057.0
9.0,2.0,0.0,2.0,2057.0
9.0,2.0,0.87,3.0,2057.0
9.0,2.0,1.36,4.0,2057.0
9.0,2.0,0.0,5.0,2057.0
9.0,2.0,16.08,6.0,2057.0
9.0,2.0,0.69,7.0,2057.0
9.0,2.0,3.92,8.0,2057.0
9.0,2.0,0.65,9.0,2057.0
9.0,2.0,4.51,10.0,2057.0
9.0,2.0,2.33,11.0,2057.0
9.0,2.0,0.0,12.0,2057.0
9.0,2.0,0.0,1.0,2058.0
9.0,2.0,10.01,2.0,2058.0
9.0,2.0,5.27,3.0,2058.0
9.0,2.0,0.0,4.0,2058.0
9.0,2.0,9.55,5.0,2058.0
9.0,2.0,1.34,6.0,2058.0
9.0,2.0,0.44,7.0,2058.0
9.0,2.0,0.0,8.0,2058.0
9.0,2.0,7.66,9.0,2058.0
9.0,2.0,0.0,10.0,2058.0
9.0,2.0,0.0,11.0,2058.0
9.0,2.0,1.39,12.0,2058.0
9.0,2.0,4.82,1.0,2059.0
9.0,2.0,0.0,2.0,2059.0
9.0,2.0,0.0,3.0,2059.0
9.0,2.0,8.76,4.0,2059.0
9.0,2.0,5.69,5.0,2059.0
9.0,2.0,12.52,6.0,2059.0
9.0,2.0,3.66,7.0,2059.0
9.0,2.0,2.15,8.0,2059.0
9.0,2.0,2.58,9.0,2059.0
9.0,2.0,0.06,10.0,2059.0
9.0,2.0,0.0,11.0,2059.0
9.0,2.0,8.76,12.0,2059.0
9.0,2.0,0.0,1.0,2060.0
9.0,2.0,0.65,2.0,2060.0
9.0,2.0,0.0,3.0,2060.0
9.0,2.0,0.0,4.0,2060.0
9.0,2.0,0.0,5.0,2060.0
9.0,2.0,5.57,6.0,2060.0
9.0,2.0,11.5,7.0,2060.0
9.0,2.0,2.34,8.0,2060.0
9.0,2.0,0.86,9.0,2060.0
9.0,2.0,0.52,10.0,2060.0
9.0,2.0,0.0,11.0,2060.0
9.0,2.0,0.0,12.0,2060.0
9.0,2.0,0.65,1.0,2091.0
9.0,2.0,0.0,2.0,2091.0
9.0,2.0,0.0,3.0,2091.0
9.0,2.0,1.36,4.0,2091.0
9.0,2.0,4.58,5.0,2091.0
9.0,2.0,16.73,6.0,2091.0
9.0,2.0,0.83,7.0,2091.0
9.0,2.0,4.91,8.0,2091.0
9.0,2.0,0.0,9.0,2091.0
9.0,2.0,4.51,10.0,2091.0
9.0,2.0,3.99,11.0,2091.0
9.0,2.0,9.32,12.0,2091.0
9.0,2.0,0.0,1.0,2092.0
9.0,2.0,0.0,2.0,2092.0
9.0,2.0,8.76,3.0,2092.0
9.0,2.0,1.36,4.0,2092.0
9.0,2.0,12.41,5.0,2092.0
9.0,2.0,5.94,6.0,2092.0
9.0,2.0,2.83,7.0,2092.0
9.0,2.0,3.06,8.0,2092.0
9.0,2.0,2.57,9.0,2092.0
9.0,2.0,0.28,10.0,2092.0
9.0,2.0,0.1,11.0,2092.0
9.0,2.0,0.0,12.0,2092.0
9.0,2.0,0.59,1.0,2093.0
9.0,2.0,0.0,2.0,2093.0
9.0,2.0,1.36,3.0,2093.0
9.0,2.0,1.5,4.0,2093.0
9.0,2.0,3.99,5.0,2093.0
9.0,2.0,4.21,6.0,2093.0
9.0,2.0,8.79,7.0,2093.0
9.0,2.0,3.14,8.0,2093.0
9.0,2.0,1.42,9.0,2093.0
9.0,2.0,0.0,10.0,2093.0
9.0,2.0,0.0,11.0,2093.0
9.0,2.0,10.01,12.0,2093.0
9.0,2.0,0.59,1.0,2094.0
9.0,2.0,0.0,2.0,2094.0
9.0,2.0,0.0,3.0,2094.0
9.0,2.0,0.0,4.0,2094.0
9.0,2.0,3.99,5.0,2094.0
9.0,2.0,13.08,6.0,2094.0
9.0,2.0,10.07,7.0,2094.0
9.0,2.0,0.82,8.0,2094.0
9.0,2.0,0.06,9.0,2094.0
9.0,2.0,2.33,10.0,2094.0
9.0,2.0,0.0,11.0,2094.0
9.0,2.0,0.0,12.0,2094.0
9.0,2.0,1.36,1.0,2095.0
9.0,2.0,6.81,2.0,2095.0
9.0,2.0,14.8,3.0,2095.0
9.0,2.0,0.0,4.0,2095.0
9.0,2.0,0.94,5.0,2095.0
9.0,2.0,0.82,6.0,2095.0
9.0,2.0,4.89,7.0,2095.0
9.0,2.0,2.83,8.0,2095.0
9.0,2.0,5.19,9.0,2095.0
9.0,2.0,14.92,10.0,2095.0
9.0,2.0,15.08,11.0,2095.0
9.0,2.0,0.0,12.0,2095.0
9.0,2.0,0.0,1.0,2096.0
9.0,2.0,0.0,2.0,2096.0
9.0,2.0,0.0,3.0,2096.0
9.0,2.0,0.0,4.0,2096.0
9.0,2.0,4.78,5.0,2096.0
