v,h,year,month,t2m_mean,t2m_std,precip_mean,precip_std
2,9,2051,1,261.3118,4.9556,0.0015,0.0028
2,9,2051,2,258.9986,4.9391,0.0017,0.0023
2,9,2051,3,262.2995,6.6546,0.0007,0.0015
2,9,2051,4,268.5401,4.3582,0.001,0.0019
2,9,2051,5,274.8908,1.9461,0.0008,0.0014
2,9,2051,6,279.4423,1.5998,0.0026,0.0041
2,9,2051,7,281.7105,1.4566,0.0015,0.0031
2,9,2051,8,283.0643,1.2214,0.0042,0.0063
2,9,2051,9,282.6945,1.5831,0.0022,0.0033
2,9,2051,10,275.0153,2.6329,0.0022,0.0031
2,9,2051,11,270.7307,2.9911,0.0018,0.0027
2,9,2051,12,264.9712,3.9811,0.0016,0.002
2,9,2052,1,259.1816,5.0734,0.001,0.0017
2,9,2052,2,264.8216,7.341,0.0019,0.0029
2,9,2052,3,263.3552,4.3176,0.0013,0.0025
2,9,2052,4,265.9547,6.5772,0.0013,0.0024
2,9,2052,5,274.4231,1.7805,0.0019,0.0027
2,9,2052,6,279.4763,2.5289,0.0025,0.0038
2,9,2052,7,283.5068,1.398,0.0023,0.0041
2,9,2052,8,282.3723,1.5726,0.0019,0.0033
2,9,2052,9,281.3917,1.3348,0.0014,0.0037
2,9,2052,10,276.1434,2.7048,0.0028,0.0042
2,9,2052,11,272.253,1.4885,0.0019,0.0024
2,9,2052,12,270.0833,3.579,0.0018,0.002
2,9,2053,1,261.7175,4.7909,0.0028,0.0041
2,9,2053,2,260.6561,8.0712,0.0012,0.002
2,9,2053,3,264.6796,5.2583,0.0017,0.0028
2,9,2053,4,265.7855,5.8809,0.0007,0.0018
2,9,2053,5,272.5887,3.217,0.001,0.0017
2,9,2053,6,278.9988,1.4011,0.0018,0.0038
2,9,2053,7,283.1385,1.6396,0.0031,0.0056
2,9,2053,8,283.5059,0.9931,0.0044,0.0065
2,9,2053,9,282.2586,1.8456,0.0043,0.007
2,9,2053,10,276.5789,1.7959,0.0019,0.0037
2,9,2053,11,273.3865,1.9766,0.0021,0.0035
2,9,2053,12,270.1081,3.6778,0.0021,0.003
2,9,2054,1,263.6386,5.7397,0.0014,0.0016
2,9,2054,2,262.5163,6.5025,0.0015,0.0029
2,9,2054,3,262.26,4.3806,0.0011,0.0021
2,9,2054,4,267.14,5.1654,0.0015,0.0023
2,9,2054,5,273.8326,2.1021,0.0016,0.0022
2,9,2054,6,278.7399,2.0731,0.0012,0.002
2,9,2054,7,283.0812,1.7589,0.0026,0.0053
2,9,2054,8,283.8537,1.6978,0.0026,0.0051
2,9,2054,9,281.2803,2.3525,0.0034,0.0042
2,9,2054,10,274.5687,2.5108,0.0008,0.0011
2,9,2054,11,272.6675,3.1893,0.0023,0.0038
2,9,2054,12,268.8736,4.2212,0.0024,0.0031
2,9,2055,1,265.4341,5.1376,0.0021,0.0025
2,9,2055,2,267.9573,5.2157,0.0019,0.0023
2,9,2055,3,263.5635,4.3308,0.0013,0.0026
2,9,2055,4,270.1385,3.9415,0.0011,0.002
2,9,2055,5,275.5893,2.9249,0.0011,0.0017
2,9,2055,6,279.6212,1.6237,0.0018,0.0034
2,9,2055,7,282.6232,1.6167,0.0024,0.004
2,9,2055,8,283.8235,1.3422,0.0028,0.0058
2,9,2055,9,282.7351,1.9723,0.006,0.0087
2,9,2055,10,276.8015,1.4498,0.0019,0.0022
2,9,2055,11,273.0293,2.3639,0.0029,0.0041
2,9,2055,12,266.5094,4.119,0.0025,0.003
2,9,2056,1,263.7131,6.3521,0.0023,0.003
2,9,2056,2,259.5547,6.3129,0.0011,0.0027
2,9,2056,3,264.8876,5.5444,0.0009,0.0017
2,9,2056,4,269.5363,3.0416,0.0014,0.0027
2,9,2056,5,275.2084,2.4661,0.0014,0.0034
2,9,2056,6,281.1803,1.68,0.0014,0.0034
2,9,2056,7,284.0152,1.467,0.003,0.006
2,9,2056,8,283.6046,1.2465,0.0034,0.0051
2,9,2056,9,281.3375,2.0778,0.0016,0.0027
2,9,2056,10,277.9468,2.645,0.0038,0.0048
2,9,2056,11,273.2906,2.1476,0.0046,0.0051
2,9,2056,12,267.3554,4.0809,0.0014,0.0019
2,9,2057,1,265.0089,6.327,0.0017,0.0022
2,9,2057,2,262.3173,4.1665,0.0006,0.0007
2,9,2057,3,262.4964,3.9554,0.0003,0.0006
2,9,2057,4,264.5036,5.1468,0.0006,0.0013
