v,h,year,month,t2m_mean,t2m_std,precip_mean,precip_std
2,9,2051,1,268.7061,4.0299,0.0021,0.0031
2,9,2051,2,265.026,4.0766,0.0016,0.0031
2,9,2051,3,264.7249,3.5128,0.0018,0.0029
2,9,2051,4,268.9882,3.2091,0.003,0.0045
2,9,2051,5,274.2803,3.0807,0.0027,0.0043
2,9,2051,6,278.8147,1.3901,0.0037,0.0057
2,9,2051,7,281.3071,1.4364,0.0026,0.0054
2,9,2051,8,283.8784,1.2013,0.0021,0.0037
2,9,2051,9,280.7344,2.5281,0.0022,0.0033
2,9,2051,10,273.6306,2.1634,0.0022,0.0027
2,9,2051,11,271.2281,1.9845,0.0016,0.0022
2,9,2051,12,271.1193,2.244,0.0023,0.0027
2,9,2052,1,270.8151,3.6185,0.0021,0.0026
2,9,2052,2,269.4722,3.4493,0.0036,0.0055
2,9,2052,3,267.8735,2.6311,0.0016,0.0022
2,9,2052,4,272.6444,2.3325,0.0017,0.0022
2,9,2052,5,275.8186,2.0825,0.0022,0.004
2,9,2052,6,280.144,1.1992,0.0028,0.005
2,9,2052,7,283.653,1.5857,0.0028,0.0038
2,9,2052,8,284.668,1.0604,0.0042,0.0059
2,9,2052,9,281.7573,2.0816,0.0028,0.0031
2,9,2052,10,277.2852,1.7429,0.003,0.0044
2,9,2052,11,273.8137,2.7039,0.0022,0.0038
2,9,2052,12,270.3271,2.4336,0.0028,0.0041
2,9,2053,1,266.7241,4.8059,0.0021,0.0029
2,9,2053,2,262.6457,4.3037,0.001,0.0013
2,9,2053,3,265.2334,4.0665,0.001,0.0013
2,9,2053,4,269.3687,3.3049,0.0019,0.0026
2,9,2053,5,274.7495,1.963,0.0008,0.0014
2,9,2053,6,280.077,1.3227,0.0022,0.0035
2,9,2053,7,283.5924,1.4871,0.0017,0.0024
2,9,2053,8,284.2836,0.8796,0.0049,0.008
2,9,2053,9,281.4752,2.2898,0.0031,0.0043
2,9,2053,10,274.9187,2.7177,0.0016,0.0027
2,9,2053,11,272.1791,2.559,0.0025,0.0046
2,9,2053,12,271.7988,2.0195,0.002,0.0026
2,9,2054,1,270.9259,4.3231,0.0034,0.004
2,9,2054,2,269.2313,3.2909,0.0019,0.0023
2,9,2054,3,267.3642,3.9248,0.0025,0.0041
2,9,2054,4,269.0293,2.9877,0.0017,0.0028
2,9,2054,5,273.7511,3.309,0.0019,0.0034
2,9,2054,6,280.0358,2.0205,0.0023,0.0043
2,9,2054,7,284.0818,1.3565,0.0019,0.003
2,9,2054,8,284.5919,2.0411,0.0043,0.0057
2,9,2054,9,281.0783,1.3415,0.0047,0.0057
2,9,2054,10,276.7192,1.6018,0.0034,0.0048
2,9,2054,11,273.0777,1.8993,0.0023,0.0037
2,9,2054,12,267.2682,2.9991,0.0014,0.0016
2,9,2055,1,263.5312,6.1155,0.0014,0.0022
2,9,2055,2,262.8408,4.6214,0.0019,0.0027
2,9,2055,3,262.0092,2.9523,0.0011,0.0021
2,9,2055,4,267.3279,3.6119,0.0009,0.0019
2,9,2055,5,272.9139,2.5779,0.002,0.0031
2,9,2055,6,278.748,1.4981,0.0036,0.0052
2,9,2055,7,281.2496,1.6302,0.0014,0.0027
2,9,2055,8,282.3937,1.2337,0.002,0.0035
2,9,2055,9,281.3336,1.4911,0.0023,0.005
2,9,2055,10,276.746,2.7943,0.0038,0.0049
2,9,2055,11,272.8916,2.1639,0.002,0.0031
2,9,2055,12,273.1796,1.692,0.0036,0.0044
2,9,2056,1,273.3493,1.8014,0.0022,0.0032
2,9,2056,2,270.3649,3.8245,0.0032,0.0045
2,9,2056,3,268.9239,3.3265,0.0014,0.0021
2,9,2056,4,272.0726,1.8125,0.0017,0.0027
2,9,2056,5,276.5744,1.5307,0.0024,0.0039
2,9,2056,6,280.669,1.4146,0.0033,0.0046
2,9,2056,7,283.9309,1.128,0.003,0.0042
2,9,2056,8,284.2869,0.9909,0.0036,0.0072
2,9,2056,9,283.6593,1.4393,0.0043,0.0051
2,9,2056,10,276.4729,2.1393,0.0027,0.0034
2,9,2056,11,273.6099,3.368,0.0034,0.0045
2,9,2056,12,269.1839,1.9291,0.0013,0.0021
2,9,2057,1,271.0081,2.749,0.0017,0.0022
2,9,2057,2,265.345,4.3894,0.0017,0.0024
2,9,2057,3,268.4181,3.3298,0.0021,0.0029
2,9,2057,4,273.52,1.5045,0.0012,0.0018
2,9,2057,5,278.5135,2.0454,0.0009,0.0021
2,9,2057,6,281.3842,1.088,0.0026,0.0038
2,9,2057,7,285.219,1.7308,0.0031,0.005
2,9,2057,8,285.2895,1.0797,0.0059,0.0093
2,9,2057,9,283.1335,1.366,0.0028,0.004
2,9,2057,10,278.4067,2.0101,0.0042,0.0054
2,9,2057,11,273.2136,2.4937,0.0022,0.0025
2,9,2057,12,269.279,2.4318,0.0015,0.0026
2,9,2058,1,272.568,3.2637,0.0034,0.0042
2,9,2058,2,271.1518,2.6909,0.0019,0.0027
2,9,2058,3,264.9869,3.4019,0.001,0.0014
2,9,2058,4,272.1363,1.2136,0.001,0.0018
2,9,2058,5,277.4821,1.5554,0.0007,0.0018
2,9,2058,6,282.1591,1.6484,0.0016,0.0028
2,9,2058,7,285.0675,1.4143,0.0025,0.004
2,9,2058,8,285.3512,1.1354,0.004,0.0057
2,9,2058,9,283.5219,1.3723,0.002,0.0038
2,9,2058,10,278.0572,1.9376,0.0029,0.004
2,9,2058,11,273.5951,3.3952,0.0034,0.0048
2,9,2058,12,271.912,1.9143,0.002,0.0031
2,9,2059,1,270.4617,2.5634,0.0025,0.0035
2,9,2059,2,268.6995,4.2622,0.0016,0.0024
2,9,2059,3,267.3872,3.9419,0.0015,0.0026
2,9,2059,4,271.0145,3.8697,0.0016,0.003
2,9,2059,5,276.3226,2.5078,0.001,0.0015
2,9,2059,6,281.6973,1.2704,0.0021,0.0037
2,9,2059,7,285.0464,1.6042,0.0019,0.003
2,9,2059,8,287.6672,1.0671,0.0014,0.0023
2,9,2059,9,284.0667,2.3629,0.0035,0.006
2,9,2059,10,279.3907,2.1316,0.0027,0.0034
2,9,2059,11,273.6364,2.5346,0.0013,0.0017
2,9,2059,12,269.6924,1.7771,0.0015,0.0018
2,9,2060,1,269.6111,4.5899,0.0016,0.0021
2,9,2060,2,266.6554,3.7342,0.0021,0.0026
2,9,2060,3,266.7998,3.3837,0.0008,0.0014
2,9,2060,4,269.1235,2.8928,0.0011,0.0016
2,9,2060,5,275.3568,2.0699,0.0022,0.0035
2,9,2060,6,281.1676,1.2845,0.0015,0.0023
2,9,2060,7,285.1528,1.9383,0.0018,0.0034
2,9,2060,8,286.5643,0.9624,0.0015,0.002
2,9,2060,9,282.7567,1.4759,0.0013,0.0021
2,9,2060,10,277.0169,2.1205,0.0017,0.0024
2,9,2060,11,274.6309,1.6832,0.0027,0.0029
2,9,2060,12,273.1496,1.9898,0.0025,0.0036
2,9,2091,1,270.6376,2.8384,0.0017,0.0021
2,9,2091,2,272.0982,2.4776,0.0016,0.0022
2,9,2091,3,268.7277,2.9861,0.0015,0.0026
2,9,2091,4,272.0395,2.6903,0.0014,0.002
2,9,2091,5,278.688,2.7316,0.0019,0.0036
2,9,2091,6,282.7458,1.6074,0.0019,0.0029
2,9,2091,7,288.3974,1.3563,0.0025,0.0069
2,9,2091,8,288.429,1.8203,0.0051,0.0082
2,9,2091,9,284.3234,2.8857,0.0018,0.0031
2,9,2091,10,277.172,2.1216,0.0029,0.0039
2,9,2091,11,271.683,1.6113,0.002,0.0035
2,9,2091,12,270.6295,1.6519,0.0032,0.005
2,9,2092,1,272.4986,2.6367,0.0022,0.0044
2,9,2092,2,268.309,3.9783,0.0012,0.0013
2,9,2092,3,268.2077,3.364,0.0011,0.002
2,9,2092,4,272.0041,2.476,0.0018,0.0023
2,9,2092,5,273.973,2.3561,0.0016,0.0028
2,9,2092,6,281.1645,1.8682,0.0016,0.0036
2,9,2092,7,284.6314,1.6422,0.0031,0.0063
2,9,2092,8,285.1646,1.2818,0.002,0.0045
2,9,2092,9,283.0527,1.681,0.0024,0.0062
2,9,2092,10,278.0371,3.3923,0.0052,0.0071
2,9,2092,11,274.2144,2.6096,0.0046,0.0067
2,9,2092,12,271.5981,2.338,0.003,0.0057
2,9,2093,1,272.7583,2.3939,0.0028,0.0046
2,9,2093,2,270.0901,3.9977,0.0018,0.003
2,9,2093,3,271.6437,2.1922,0.0035,0.0045
2,9,2093,4,272.61,3.1193,0.0034,0.0049
2,9,2093,5,276.7379,1.7735,0.0012,0.0023
2,9,2093,6,282.2776,1.5264,0.0022,0.0042
2,9,2093,7,287.22,1.8016,0.0019,0.0048
2,9,2093,8,285.7055,1.4302,0.0042,0.0093
2,9,2093,9,284.2606,1.4077,0.0004,0.0005
2,9,2093,10,278.4983,2.7497,0.0022,0.004
2,9,2093,11,273.6241,1.9787,0.003,0.005
2,9,2093,12,273.3158,2.8562,0.0023,0.0038
2,9,2094,1,273.4154,2.4279,0.0022,0.0034
2,9,2094,2,269.2218,2.3269,0.0024,0.0027
2,9,2094,3,269.5813,2.3962,0.0014,0.0023
2,9,2094,4,270.4587,2.6298,0.0014,0.0033
2,9,2094,5,275.8274,2.0639,0.0018,0.0026
2,9,2094,6,282.5144,1.8333,0.002,0.0031
2,9,2094,7,285.9482,1.4812,0.0026,0.0043
2,9,2094,8,286.931,1.2591,0.0037,0.007
2,9,2094,9,285.0288,1.7595,0.003,0.0037
2,9,2094,10,279.7259,1.422,0.0031,0.005
2,9,2094,11,273.4437,3.0093,0.0046,0.0062
2,9,2094,12,271.973,1.8681,0.0026,0.004
2,9,2095,1,273.8655,2.5241,0.0018,0.0032
2,9,2095,2,271.0536,2.6097,0.0014,0.0022
2,9,2095,3,269.6853,2.4816,0.0012,0.0028
2,9,2095,4,271.6469,2.1916,0.0026,0.004
2,9,2095,5,275.128,2.6783,0.0019,0.0034
2,9,2095,6,282.1446,1.1602,0.0011,0.0019
2,9,2095,7,285.6431,1.0709,0.0048,0.0076
2,9,2095,8,285.6372,1.4951,0.0067,0.0099
2,9,2095,9,283.2243,1.3363,0.0021,0.0035
2,9,2095,10,278.9898,2.0574,0.0037,0.005
2,9,2095,11,275.116,1.3557,0.0036,0.0048
2,9,2095,12,275.008,1.5058,0.0042,0.0047
2,9,2096,1,275.2751,1.5447,0.0034,0.0042
2,9,2096,2,275.1515,1.3872,0.0031,0.004
2,9,2096,3,272.0669,1.4455,0.0012,0.002
2,9,2096,4,274.758,1.8902,0.0015,0.0021
2,9,2096,5,278.6758,2.2548,0.0021,0.0029
2,9,2096,6,283.8494,1.4423,0.0026,0.0042
2,9,2096,7,287.0113,1.5566,0.0017,0.003
2,9,2096,8,286.4801,0.6959,0.0066,0.0093
2,9,2096,9,285.0703,1.5654,0.0049,0.0071
2,9,2096,10,281.3617,2.9464,0.0033,0.0039
2,9,2096,11,274.7758,2.1336,0.0021,0.0034
2,9,2096,12,272.1044,2.5072,0.0024,0.0042
2,9,2097,1,272.8317,2.743,0.0013,0.002
2,9,2097,2,272.277,2.6774,0.0027,0.0044
2,9,2097,3,272.3252,1.2832,0.0024,0.0033
2,9,2097,4,274.4036,1.5949,0.0017,0.0026
2,9,2097,5,277.9667,1.5703,0.0025,0.0041
2,9,2097,6,283.4154,1.4563,0.0011,0.0017
2,9,2097,7,287.6553,1.0875,0.0019,0.0036
2,9,2097,8,288.042,1.7507,0.0041,0.0086
2,9,2097,9,286.038,1.9464,0.0014,0.0031
2,9,2097,10,280.4124,2.0476,0.0028,0.005
2,9,2097,11,277.0311,1.7345,0.0032,0.0035
2,9,2097,12,273.5673,1.2242,0.0028,0.0037
2,9,2098,1,273.5666,2.3481,0.003,0.0045
2,9,2098,2,272.0744,2.5761,0.0026,0.0045
2,9,2098,3,272.6046,1.6907,0.0022,0.0033
2,9,2098,4,273.8867,1.7523,0.0014,0.0026
2,9,2098,5,277.9554,2.8527,0.001,0.0019
2,9,2098,6,283.2503,1.4003,0.0015,0.0027
2,9,2098,7,285.8735,1.8192,0.003,0.0052
2,9,2098,8,287.0027,1.4358,0.0037,0.008
2,9,2098,9,284.7455,1.3854,0.0054,0.0083
2,9,2098,10,278.9342,2.3875,0.0032,0.0041
2,9,2098,11,274.6995,2.1458,0.0044,0.0068
