h,v,BurnedCells,month,year
9.0,2.0,0.0,1.0,2051.0
9.0,2.0,0.0,1.0,2052.0
9.0,2.0,0.0,1.0,2053.0
9.0,2.0,0.0,1.0,2054.0
9.0,2.0,0.0,1.0,2055.0
9.0,2.0,0.0,1.0,2056.0
9.0,2.0,0.0,1.0,2057.0
9.0,2.0,0.0,1.0,2058.0
9.0,2.0,0.0,1.0,2059.0
9.0,2.0,0.0,1.0,2060.0
9.0,2.0,0.0,1.0,2091.0
9.0,2.0,0.0,1.0,2092.0
9.0,2.0,0.0,1.0,2093.0
9.0,2.0,0.0,1.0,2094.0
9.0,2.0,0.0,1.0,2095.0
9.0,2.0,0.0,1.0,2096.0
9.0,2.0,0.0,1.0,2097.0
9.0,2.0,0.0,1.0,2098.0
9.0,2.0,0.0,1.0,2099.0
9.0,2.0,0.0,1.0,2100.0
9.0,2.0,0.0,2.0,2051.0
9.0,2.0,0.0,2.0,2052.0
9.0,2.0,0.0,2.0,2053.0
9.0,2.0,0.0,2.0,2054.0
9.0,2.0,0.0,2.0,2055.0
9.0,2.0,0.0,2.0,2056.0
9.0,2.0,0.0,2.0,2057.0
9.0,2.0,0.0,2.0,2058.0
9.0,2.0,0.0,2.0,2059.0
9.0,2.0,0.0,2.0,2060.0
9.0,2.0,0.0,2.0,2091.0
9.0,2.0,0.0,2.0,2092.0
9.0,2.0,0.0,2.0,2093.0
9.0,2.0,0.0,2.0,2094.0
9.0,2.0,0.0,2.0,2095.0
9.0,2.0,0.0,2.0,2096.0
9.0,2.0,0.0,2.0,2097.0
9.0,2.0,0.0,2.0,2098.0
9.0,2.0,0.0,2.0,2099.0
9.0,2.0,0.0,2.0,2100.0
9.0,2.0,0.0,3.0,2051.0
9.0,2.0,0.0,3.0,2052.0
9.0,2.0,0.0,3.0,2053.0
9.0,2.0,0.0,3.0,2054.0
9.0,2.0,0.0,3.0,2055.0
9.0,2.0,0.0,3.0,2056.0
9.0,2.0,0.0,3.0,2057.0
9.0,2.0,0.0,3.0,2058.0
9.0,2.0,0.0,3.0,2059.0
9.0,2.0,0.0,3.0,2060.0
9.0,2.0,0.0,3.0,2091.0
9.0,2.0,0.0,3.0,2092.0
9.0,2.0,0.0,3.0,2093.0
9.0,2.0,0.0,3.0,2094.0
9.0,2.0,0.0,3.0,2095.0
9.0,2.0,0.0,3.0,2096.0
9.0,2.0,0.0,3.0,2097.0
9.0,2.0,0.0,3.0,2098.0
9.0,2.0,0.0,3.0,2099.0
9.0,2.0,0.0,3.0,2100.0
9.0,2.0,0.0,4.0,2051.0
9.0,2.0,0.0,4.0,2052.0
9.0,2.0,0.0,4.0,2053.0
9.0,2.0,0.0,4.0,2054.0
9.0,2.0,0.0,4.0,2055.0
9.0,2.0,0.0,4.0,2056.0
9.0,2.0,0.0,4.0,2057.0
9.0,2.0,0.0,4.0,2058.0
9.0,2.0,0.0,4.0,2059.0
9.0,2.0,0.0,4.0,2060.0
9.0,2.0,0.0,4.0,2091.0
9.0,2.0,0.0,4.0,2092.0
9.0,2.0,0.0,4.0,2093.0
9.0,2.0,0.0,4.0,2094.0
9.0,2.0,0.0,4.0,2095.0
9.0,2.0,0.0,4.0,2096.0
9.0,2.0,0.0,4.0,2097.0
9.0,2.0,0.0,4.0,2098.0
9.0,2.0,0.0,4.0,2099.0
9.0,2.0,0.0,4.0,2100.0
9.0,2.0,0.0,5.0,2051.0
9.0,2.0,0.0,5.0,2052.0
9.0,2.0,0.0,5.0,2053.0
9.0,2.0,0.0,5.0,2054.0
9.0,2.0,0.0,5.0,2055.0
9.0,2.0,0.0,5.0,2056.0
9.0,2.0,0.0,5.0,2057.0
9.0,2.0,0.0,5.0,2058.0
9.0,2.0,0.0,5.0,2059.0
9.0,2.0,0.0,5.0,2060.0
9.0,2.0,0.0,5.0,2091.0
9.0,2.0,0.0,5.0,2092.0
9.0,2.0,0.0,5.0,2093.0
9.0,2.0,0.0,5.0,2094.0
9.0,2.0,0.0,5.0,2095.0
9.0,2.0,0.0,5.0,2096.0
9.0,2.0,0.0,5.0,2097.0
9.0,2.0,0.0,5.0,2098.0
9.0,2.0,0.0,5.0,2099.0
9.0,2.0,0.0,5.0,2100.0
9.0,2.0,0.0,6.0,2051.0
9.0,2.0,0.0,6.0,2052.0
9.0,2.0,0.0,6.0,2053.0
9.0,2.0,0.0,6.0,2054.0
9.0,2.0,0.0,6.0,2055.0
9.0,2.0,0.0,6.0,2056.0
9.0,2.0,0.0,6.0,2057.0
9.0,2.0,0.0,6.0,2058.0
9.0,2.0,0.0,6.0,2059.0
9.0,2.0,0.0,6.0,2060.0
9.0,2.0,0.0,6.0,2091.0
9.0,2.0,0.0,6.0,2092.0
9.0,2.0,0.0,6.0,2093.0
9.0,2.0,0.0,6.0,2094.0
9.0,2.0,0.0,6.0,2095.0
9.0,2.0,0.0,6.0,2096.0
9.0,2.0,0.0,6.0,2097.0
9.0,2.0,5.61,6.0,2098.0
9.0,2.0,0.0,6.0,2099.0
9.0,2.0,0.0,6.0,2100.0
9.0,2.0,0.0,7.0,2051.0
9.0,2.0,0.0,7.0,2052.0
9.0,2.0,0.0,7.0,2053.0
9.0,2.0,0.0,7.0,2054.0
9.0,2.0,0.0,7.0,2055.0
9.0,2.0,0.0,7.0,2056.0
9.0,2.0,0.0,7.0,2057.0
9.0,2.0,0.0,7.0,2058.0
9.0,2.0,0.0,7.0,2059.0
9.0,2.0,0.0,7.0,2060.0
9.0,2.0,0.0,7.0,2091.0
9.0,2.0,0.0,7.0,2092.0
9.0,2.0,0.0,7.0,2093.0
9.0,2.0,0.0,7.0,2094.0
9.0,2.0,0.0,7.0,2095.0
9.0,2.0,0.0,7.0,2096.0
9.0,2.0,0.0,7.0,2097.0
9.0,2.0,0.0,7.0,2098.0
9.0,2.0,0.0,7.0,2099.0
9.0,2.0,1.19,7.0,2100.0
9.0,2.0,0.99,8.0,2051.0
9.0,2.0,0.0,8.0,2052.0
9.0,2.0,0.0,8.0,2053.0
9.0,2.0,0.0,8.0,2054.0
9.0,2.0,0.0,8.0,2055.0
9.0,2.0,0.0,8.0,2056.0
9.0,2.0,0.0,8.0,2057.0
9.0,2.0,0.46,8.0,2058.0
9.0,2.0,0.0,8.0,2059.0
9.0,2.0,0.0,8.0,2060.0
9.0,2.0,0.59,8.0,2091.0
9.0,2.0,0.0,8.0,2092.0
9.0,2.0,0.0,8.0,2093.0
9.0,2.0,0.0,8.0,2094.0
9.0,2.0,0.29,8.0,2095.0
9.0,2.0,1.65,8.0,2096.0
9.0,2.0,1.45,8.0,2097.0
9.0,2.0,0.0,8.0,2098.0
9.0,2.0,0.0,8.0,2099.0
9.0,2.0,0.0,8.0,2100.0
9.0,2.0,0.46,9.0,2051.0
9.0,2.0,0.0,9.0,2052.0
9.0,2.0,0.0,9.0,2053.0
9.0,2.0,0.0,9.0,2054.0
9.0,2.0,0.0,9.0,2055.0
9.0,2.0,0.0,9.0,2056.0
9.0,2.0,0.0,9.0,2057.0
9.0,2.0,0.0,9.0,2058.0
9.0,2.0,0.0,9.0,2059.0
9.0,2.0,0.0,9.0,2060.0
9.0,2.0,0.0,9.0,2091.0
9.0,2.0,0.0,9.0,2092.0
9.0,2.0,0.0,9.0,2093.0
9.0,2.0,0.0,9.0,2094.0
9.0,2.0,0.0,9.0,2095.0
9.0,2.0,0.0,9.0,2096.0
9.0,2.0,0.0,9.0,2097.0
9.0,2.0,0.49,9.0,2098.0
9.0,2.0,1.19,9.0,2099.0
9.0,2.0,0.99,9.0,2100.0
9.0,2.0,0.0,10.0,2051.0
9.0,2.0,0.0,10.0,2052.0
9.0,2.0,0.0,10.0,2053.0
9.0,2.0,0.0,10.0,2054.0
9.0,2.0,0.0,10.0,2055.0
9.0,2.0,0.0,10.0,2056.0
9.0,2.0,0.0,10.0,2057.0
9.0,2.0,0.0,10.0,2058.0
9.0,2.0,0.0,10.0,2059.0
9.0,2.0,0.0,10.0,2060.0
9.0,2.0,0.0,10.0,2091.0
9.0,2.0,0.0,10.0,2092.0
9.0,2.0,0.0,10.0,2093.0
9.0,2.0,0.0,10.0,2094.0
9.0,2.0,0.0,10.0,2095.0
9.0,2.0,0.0,10.0,2096.0
9.0,2.0,0.0,10.0,2097.0
9.0,2.0,0.0,10.0,2098.0
9.0,2.0,0.0,10.0,2099.0
9.0,2.0,0.0,10.0,2100.0
9.0,2.0,0.0,11.0,2051.0
9.0,2.0,0.0,11.0,2052.0
9.0,2.0,0.0,11.0,2053.0
9.0,2.0,0.0,11.0,2054.0
9.0,2.0,0.0,11.0,2055.0
9.0,2.0,0.0,11.0,2056.0
9.0,2.0,0.0,11.0,2057.0
9.0,2.0,0.0,11.0,2058.0
9.0,2.0,0.0,11.0,2059.0
9.0,2.0,0.0,11.0,2060.0
9.0,2.0,0.0,11.0,2091.0
9.0,2.0,0.0,11.0,2092.0
9.0,2.0,0.0,11.0,2093.0
9.0,2.0,0.0,11.0,2094.0
9.0,2.0,0.0,11.0,2095.0
9.0,2.0,0.0,11.0,2096.0
9.0,2.0,0.0,11.0,2097.0
9.0,2.0,0.0,11.0,2098.0
9.0,2.0,0.0,11.0,2099.0
9.0,2.0,0.0,11.0,2100.0
9.0,2.0,0.0,12.0,2051.0
9.0,2.0,0.0,12.0,2052.0
9.0,2.0,0.0,12.0,2053.0
9.0,2.0,0.0,12.0,2054.0
9.0,2.0,0.0,12.0,2055.0
9.0,2.0,0.0,12.0,2056.0
9.0,2.0,0.0,12.0,2057.0
9.0,2.0,0.0,12.0,2058.0
9.0,2.0,0.0,12.0,2059.0
9.0,2.0,0.0,12.0,2060.0
9.0,2.0,0.0,12.0,2091.0
9.0,2.0,0.0,12.0,2092.0
9.0,2.0,0.0,12.0,2093.0
9.0,2.0,0.0,12.0,2094.0
9.0,2.0,0.0,12.0,2095.0
9.0,2.0,0.0,12.0,2096.0
9.0,2.0,0.0,12.0,2097.0
9.0,2.0,0.0,12.0,2098.0
9.0,2.0,0.0,12.0,2099.0
9.0,2.0,0.0,12.0,2100.0
10.0,2.0,84.21,1.0,2051.0
10.0,2.0,0.03,1.0,2052.0
10.0,2.0,0.01,1.0,2053.0
10.0,2.0,8.93,1.0,2054.0
10.0,2.0,0.68,1.0,2055.0
10.0,2.0,16.9,1.0,2056.0
10.0,2.0,81.49,1.0,2057.0
10.0,2.0,58.2,1.0,2058.0
10.0,2.0,0.32,1.0,2059.0
10.0,2.0,3.28,1.0,2060.0
10.0,2.0,17.81,1.0,2091.0
10.0,2.0,6.56,1.0,2092.0
10.0,2.0,8.38,1.0,2093.0
10.0,2.0,2.05,1.0,2094.0
10.0,2.0,5.14,1.0,2095.0
